"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCE";"COLOR";"CURRENT";"CURRENT_RATED";"CURRENT_SATURATION";"DCR";"DKPN";"INDUCTANCE";"MANUFACTURER";"MODEL";"MOPN";"MPN";"POWER";"RESISTANCE";"TOLERANCE";"VOLTAGE";"VOLTAGE_CONTINUOUS";"VOLTAGE_MAX";
"2";"CAPACITOR_0603_100V_0.1UF";"CAPACITOR_0603_100V_0.1UF";"0603-CAP";"C10, C24";"Capacitor, Non-Polarized";"0.1µF";"";"";"";"";"";"311-1523-1-ND";"";"Yageo";"";"603-CC603KRX7R0BB104";"CC0603KRX7R0BB104";"";"";"10%";"100V";"";"";
"31";"CAPACITOR_0603_100V_10NF";"CAPACITOR_0603_100V_10NF";"0603-CAP";"C3, C4, C5, C13, C14, C19, C20, C28, C29, C32, CELL1:C1, CELL2:C1, CELL3:C1, CELL4:C1, CELL5:C1, CELL6:C1, CELL7:C1, CELL8:C1, CELL9:C1, CELL10:C1, CELL11:C1, CELL12:C1, CELL13:C1, CELL14:C1, CELL15:C1, CELL16:C1, CELL17:C1, CELL18:C1, CELL19:C1, CELL20:C1, CELL21:C1";"Capacitor, Non-Polarized";"10nF";"";"";"";"";"";"311-1788-1-ND";"";"Yageo";"";"603-CC603KRX7R0BB103";"CC0603KRX7R0BB103";"";"";"10%";"100V";"";"";
"2";"CAPACITOR_0603_10V_0.1UF";"CAPACITOR_0603_10V_0.1UF";"0603-CAP";"C1, C30";"Capacitor, Non-Polarized";"0.1µF";"";"";"";"";"";"720-1688-1-ND";"";"Vishay Vitramon";"";"77-VJ0603Y104JXQPBC";"VJ0603Y104JXQPW1BC";"";"";"5%";"10V";"";"";
"2";"CAPACITOR_0603_10V_10NF";"CAPACITOR_0603_10V_10NF";"0603-CAP";"C15, C17";"Capacitor, Non-Polarized";"10nF";"";"";"";"";"";"311-4054-1-ND";"";"Yageo";"";"603-CC603KRX7R6BB103";"CC0603KRX7R6BB103";"";"";"10%";"10V";"";"";
"2";"CAPACITOR_0603_10V_15PF";"CAPACITOR_0603_10V_15PF";"0603-CAP";"C16, C18";"Capacitor, Non-Polarized";"15pF";"";"";"";"";"";"720-VJ0603A150FXQPW1BCCT-ND";"";"Vishay Vitramon";"";"77-VJ0603A150FXQPBC";"VJ0603A150FXQPW1BC";"";"";"1%";"10V";"";"";
"6";"CAPACITOR_0603_10V_1UF";"CAPACITOR_0603_10V_1UF";"0603-CAP";"C6, C7, C8, C23, C26, C27";"Capacitor, Non-Polarized";"1µF";"";"";"";"";"";"311-1796-1-ND";"";"Yageo";"";"603-CC603KRX7R6BB105";"CC0603KRX7R6BB105";"";"";"10%";"10V";"";"";
"2";"CAPACITOR_0603_10V_22UF";"CAPACITOR_0603_10V_22UF";"0603-CAP";"C9, C25";"Capacitor, Non-Polarized";"22µF";"";"";"";"";"";"490-10476-1-ND";"";"Murata Electronics";"";"81-GRM188R61A226ME5D";"GRM188R61A226ME15D";"";"";"20%";"10V";"";"";
"2";"CAPACITOR_0603_10V_3.3NF";"CAPACITOR_0603_10V_3.3NF";"0603-CAP";"C2, C31";"Capacitor, Non-Polarized";"3.3nF";"";"";"";"";"";"732-7759-1-ND";"";"Würth Elektronik";"";"710-885012006016";"885012006016";"";"";"5%";"10V";"";"";
"2";"CAPACITOR_0805_100V_0.22UF";"CAPACITOR_0805_100V_0.22UF";"0805-CAP";"C12, C21";"Capacitor, Non-Polarized";"0.22µF";"";"";"";"";"";"399-8049-1-ND";"";"KEMET";"";"80-C0805C224K1R";"C0805C224K1RACTU";"";"";"10%";"100V";"";"";
"2";"CAPACITOR_1206_100V_2.2UF";"CAPACITOR_1206_100V_2.2UF";"1206-CAP";"C11, C22";"Capacitor, Non-Polarized";"2.2µF";"";"";"";"";"";"478-12144-1-ND";"";"AVX Corporation";"";"581-12061C225K4T2A";"12061C225K4T2A";"";"";"10%";"100V";"";"";
"22";"CONNECTOR-1_5222_";"CONNECTOR-1_5222_";"5222";"J100, J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J118, J119, J120, J121";"1 Pin Connector";"";"";"";"";"";"";"36-5222-ND";"";"Keystone Electronics";"SPRING";"534-5222";"5222";"";"";"";"";"";"";
"10";"CONNECTOR-2_MICROFIT_SMD_RIGHTANGLE_02_SINGLE_BLACK";"CONNECTOR-2_MICROFIT_SMD_RIGHTANGLE_02_SINGLE_BLACK";"MOLEX_MICROFIT_SMD_RIGHTANGLE_02_SINGLE";"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10";"2 Pin Connector";"";"";"";"";"";"";"WM14310CT-ND";"";"Molex";"";"538-43650-0214";"0436500214";"";"";"";"";"";"";
"23";"FUSE_0885_1";"FUSE_0885_1";"0885";"F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23";"Fuse";"";"";"1A";"";"";"";"F10985CT-ND";"";"Littelfuse Inc.";"";"576-0885001.DR";"0885001.DR";"";"";"";"500V";"";"";
"2";"INDUCTOR_74451133_33UH";"INDUCTOR_74451133_33UH";"74451133";"L1, L2";"Inductor";"";"";"";"0.6A";"0.15A";"0.19Ω";"732-1410-1-ND";"33µH";"Würth Elektronik";"";"710-74451133";"74451133";"";"";"20%";"";"";"";
"4";"LED_0603_BLUE";"LED_0603_BLUE";"0603-LED";"D1, D2, D3, D4";"LED";"";"Blue";"";"";"";"";"754-1789-1-ND";"";"Kingbright";"";"604-APT1608VBC/D";"APT1608VBC/D";"";"";"";"";"";"";
"21";"LED_0603_RED";"LED_0603_RED";"0603-LED";"CELL1:D1, CELL2:D1, CELL3:D1, CELL4:D1, CELL5:D1, CELL6:D1, CELL7:D1, CELL8:D1, CELL9:D1, CELL10:D1, CELL11:D1, CELL12:D1, CELL13:D1, CELL14:D1, CELL15:D1, CELL16:D1, CELL17:D1, CELL18:D1, CELL19:D1, CELL20:D1, CELL21:D1";"LED";"";"Red";"";"";"";"";"754-1786-1-ND";"";"Kingbright";"";"604-APT1608SECKJ3PRV";"APT1608SECK/J3-PRV";"";"";"";"";"";"";
"2";"LT3990-5";"LT3990-5";"MSOP-16(MSE)";"U3, U4";"LT3990-5 DC-DC Converter";"";"";"";"";"";"";"LT3990EMSE-5#PBF-ND";"";"Analog Devices Inc.";"";"584-LT3990EMSE-5#PBF";"LT3990EMSE-5#PBF";"";"";"";"";"";"";
"2";"LTC6811-2";"LTC6811-2";"SSOP-48";"U2, U5";"LTC6811-2 12 Cell Stackable Battery Monitor";"";"";"";"";"";"";"LTC6811IG-2#3ZZPBF-ND";"";"Analog Devices Inc.";"";"584-6811IG-2#3ZZPB";"LTC6811IG-2#3ZZPBF";"";"";"";"";"";"";
"35";"RESISTOR_0603_100";"RESISTOR_0603_100";"0603-RES";"CELL1:R1, CELL2:R1, CELL3:R1, CELL4:R1, CELL5:R1, CELL6:R1, CELL7:R1, CELL8:R1, CELL9:R1, CELL10:R1, CELL11:R1, CELL12:R1, CELL13:R1, CELL14:R1, CELL15:R1, CELL16:R1, CELL17:R1, CELL18:R1, CELL19:R1, CELL20:R1, CELL21:R1, R1, R4, R6, R7, R13, R15, R22, R31, R35, R44, R46, R47, R49, R51";"Resistor";"";"";"";"";"";"";"311-100HRCT-ND";"";"Yageo";"";"603-RC0603FR-07100RL";"RC0603FR-07100RL";"0.1W";"100";"1%";"";"3.16V";"75V";
"50";"RESISTOR_0603_1K";"RESISTOR_0603_1K";"0603-RES";"CELL1:R2, CELL1:R4, CELL2:R2, CELL2:R4, CELL3:R2, CELL3:R4, CELL4:R2, CELL4:R4, CELL5:R2, CELL5:R4, CELL6:R2, CELL6:R4, CELL7:R2, CELL7:R4, CELL8:R2, CELL8:R4, CELL9:R2, CELL9:R4, CELL10:R2, CELL10:R4, CELL11:R2, CELL11:R4, CELL12:R2, CELL12:R4, CELL13:R2, CELL13:R4, CELL14:R2, CELL14:R4, CELL15:R2, CELL15:R4, CELL16:R2, CELL16:R4, CELL17:R2, CELL17:R4, CELL18:R2, CELL18:R4, CELL19:R2, CELL19:R4, CELL20:R2, CELL20:R4, CELL21:R2, CELL21:R4, R9, R11, R12, R21, R32, R39, R42, R43";"Resistor";"";"";"";"";"";"";"311-1.00KHRCT-ND";"";"Yageo";"";"603-RC0603FR-071KL";"RC0603FR-071KL";"0.1W";"1k";"1%";"";"10.00V";"75V";
"8";"RESISTOR_0603_2.74K";"RESISTOR_0603_2.74K";"0603-RES";"R3, R5, R14, R20, R30, R38, R45, R50";"Resistor";"";"";"";"";"";"";"P20020CT-ND";"";"Panasonic Electronic Components";"";"667-ERJ-PB3B2741V";"ERJ-PB3B2741V";"0.2W";"2.74k";"0.1%";"";"23.41V";"150V";
"4";"RESISTOR_0603_22";"RESISTOR_0603_22";"0603-RES";"R24, R26, R28, R29";"Resistor";"";"";"";"";"";"";"311-22.0HRCT-ND";"";"Yageo";"";"603-RC0603FR-0722RL";"RC0603FR-0722RL";"0.1W";"22";"1%";"";"1.48V";"75V";
"2";"RESISTOR_0603_374K";"RESISTOR_0603_374K";"0603-RES";"R10, R40";"Resistor";"";"";"";"";"";"";"311-374KHRCT-ND";"";"Yageo";"";"603-RC0603FR-07374KL";"RC0603FR-07374KL";"0.1W";"374k";"1%";"";"75V";"75V";
"2";"RESISTOR_0603_402";"RESISTOR_0603_402";"0603-RES";"R23, R25";"Resistor";"";"";"";"";"";"";"311-402HRCT-ND";"";"Yageo";"";"603-RC0603FR-07402RL";"RC0603FR-07402RL";"0.1W";"402";"1%";"";"6.34V";"75V";
