"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCE";"COLOR";"CURRENT";"DKPN";"MANUFACTURER";"MOPN";"MPN";"POWER";"RESET_VOLTAGE";"RESISTANCE";"TOLERANCE";"VOLTAGE";"VOLTAGE_CONTINUOUS";"VOLTAGE_MAX";
"1";"ADG1423";"ADG1423";"MSOP-10";"U2";"ADG1423 Form-A/Form-C Analog Switch";"";"";"";"ADG1423BRMZ-REEL7CT-ND";"Analog Devices Inc.";"584-ADG1423BRMZ";"ADG1423BRMZ";"";"";"";"";"";"";"";
"1";"ADM823";"ADM823";"SC-70-5";"U6";"ADM823 Watchdog";"";"";"";"505-ADM823TYKSZ-R7CT-ND";"Analog Devices Inc.";"584-ADM823TYKSZ-R7";"ADM823TYKSZ-R7";"";"3.08";"";"";"";"";"";
"24";"CAPACITOR_0603_10V_0.1UF";"CAPACITOR_0603_10V_0.1UF";"0603-CAP";"C11, C12, C13, C14, C15, C16, C20, C22, C23, C24, C25, C26, C27, C29, C30, C31, C35, C36, C39, C40, C47, C48, C51, C52";"Capacitor, Non-Polarized";"0.1µF";"";"";"720-1688-1-ND";"Vishay Vitramon";"77-VJ0603Y104JXQPBC";"VJ0603Y104JXQPW1BC";"";"";"";"5%";"10V";"";"";
"2";"CAPACITOR_0603_10V_10NF";"CAPACITOR_0603_10V_10NF";"0603-CAP";"C4, C33";"Capacitor, Non-Polarized";"10nF";"";"";"311-4054-1-ND";"Yageo";"603-CC603KRX7R6BB103";"CC0603KRX7R6BB103";"";"";"";"10%";"10V";"";"";
"1";"CAPACITOR_0603_10V_15PF";"CAPACITOR_0603_10V_15PF";"0603-CAP";"C34";"Capacitor, Non-Polarized";"15pF";"";"";"720-VJ0603A150FXQPW1BCCT-ND";"Vishay Vitramon";"77-VJ0603A150FXQPBC";"VJ0603A150FXQPW1BC";"";"";"";"1%";"10V";"";"";
"2";"CAPACITOR_0603_10V_1UF";"CAPACITOR_0603_10V_1UF";"0603-CAP";"C9, C32";"Capacitor, Non-Polarized";"1µF";"";"";"311-1796-1-ND";"Yageo";"603-CC603KRX7R6BB105";"CC0603KRX7R6BB105";"";"";"";"10%";"10V";"";"";
"2";"CAPACITOR_0603_10V_4.7UF";"CAPACITOR_0603_10V_4.7UF";"0603-CAP";"C5, C10";"Capacitor, Non-Polarized";"4.7µF";"";"";"1276-1044-1-ND";"Samsung Electro-Mechanics";"187-CL10A475KP8NNNC";"CL10A475KP8NNNC";"";"";"";"10%";"10V";"";"";
"4";"CAPACITOR_0603_10V_680PF";"CAPACITOR_0603_10V_680PF";"0603-CAP";"C43, C45, C49, C53";"Capacitor, Non-Polarized";"680pF";"";"";"732-7757-1-ND";"Würth Elektronik";"710-885012006013";"885012006013";"";"";"";"5%";"10V";"";"";
"6";"CAPACITOR_0603_25V_0.1UF";"CAPACITOR_0603_25V_0.1UF";"0603-CAP";"C7, C8, C28, C37, C46, C50";"Capacitor, Non-Polarized";"0.1µF";"";"";"1276-1006-1-ND";"Samsung Electro-Mechanics";"187-CL10B104KA8NNNC";"CL10B104KA8NNNC";"";"";"";"10%";"25V";"";"";
"2";"CAPACITOR_0603_25V_10UF";"CAPACITOR_0603_25V_10UF";"0603-CAP";"C1, C2";"Capacitor, Non-Polarized";"10µF";"";"";"490-7202-1-ND";"Murata Electronics";"81-GRM188R61E106MA3D";"GRM188R61E106MA73D";"";"";"";"20%";"25V";"";"";
"2";"CAPACITOR_0603_25V_1UF";"CAPACITOR_0603_25V_1UF";"0603-CAP";"C3, C6";"Capacitor, Non-Polarized";"1µF";"";"";"1276-1184-1-ND";"Samsung Electro-Mechanics";"187-CL10B105KA8NNNC";"CL10B105KA8NNNC";"";"";"";"10%";"25V";"";"";
"1";"CONNECTOR-12_MF_T_V_";"CONNECTOR-12_MF_T_V_";"MOLEX_MICROFIT_PTH_VERTICAL_12_DUAL";"J5";"12 pin connector";"";"";"";"";"MOLEX";"";"430451214";"";"";"";"";"";"";"";
"1";"CONNECTOR-14_MF_T_V_";"CONNECTOR-14_MF_T_V_";"MOLEX_MICROFIT_PTH_VERTICAL_14_DUAL";"J6";"14 pin connector";"";"";"";"";"MOLEX";"";"430451414";"";"";"";"";"";"";"";
"1";"CONNECTOR-2_MF_T_V_";"CONNECTOR-2_MF_T_V_";"MOLEX_MICROFIT_PTH_VERTICAL_02_SINGLE";"J4";"2 Pin Connector";"";"";"";"";"MOLEX";"";"436500217";"";"";"";"";"";"";"";
"2";"CONNECTOR-8_MF_T_V_";"CONNECTOR-8_MF_T_V_";"MOLEX_MICROFIT_PTH_VERTICAL_08_DUAL";"J2, J3";"8 Pin Connector";"";"";"";"";"MOLEX";"";"430450814";"";"";"";"";"";"";"";
"1";"CONNECTOR-CAN_MF_T_V_";"CONNECTOR-CAN_MF_T_V_";"MOLEX_MICROFIT_PTH_VERTICAL_04_DUAL";"J1";"HyTech CAN Connector";"";"";"";"";"Molex";"";"430450414";"";"";"";"";"";"";"";
"1";"FUSE_MINI-BLADE_1A";"FUSE_MINI-BLADE_1A";"MINI-BLADE_FUSE_HOLDER";"F1";"Fuse";"";"";"1A";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED_0603_BLUE";"LED_0603_BLUE";"0603-LED";"5V";"LED";"";"Blue";"";"754-1789-1-ND";"Kingbright";"604-APT1608VBC/D";"APT1608VBC/D";"";"";"";"";"";"";"";
"4";"LED_0603_GREEN";"LED_0603_GREEN";"0603-LED";"3.3V, AMS_OK, D2, D10";"LED";"";"Green";"";"754-1790-1-ND";"Kingbright";"604-APT1608ZGCK";"APT1608ZGCK";"";"";"";"";"";"";"";
"1";"LED_0603_ORANGE";"LED_0603_ORANGE";"0603-LED";"IMD_OK";"LED";"";"Orange";"";"754-1120-1-ND";"Kingbright";"604-APT1608SECK";"APT1608SECK";"";"";"";"";"";"";"";
"4";"LED_0603_RED";"LED_0603_RED";"0603-LED";"12V, D3, D6, D14";"LED";"";"Red";"";"754-1786-1-ND";"Kingbright";"604-APT1608SECKJ3PRV";"APT1608SECK/J3-PRV";"";"";"";"";"";"";"";
"1";"LED_0603_YELLOW";"LED_0603_YELLOW";"0603-LED";"D11";"LED";"";"Yellow";"";"754-1788-1-ND";"Kingbright";"604-APT1608SYCK/J3-PRV";"APT1608SYCK/J3-PRV";"";"";"";"";"";"";"";
"1";"LM555";"LM555";"SOIC-08(NARROW,0.15")";"U3";"**555 Precision Timer";"";"";"";"LM555CMX/NOPBCT-ND";"Texas Instruments";"926-LM555CMX/NOPB";"LM555CMX/NOPB";"";"";"";"";"";"";"";
"3";"LOGICGATE_AND_DCK3";"LOGICGATE_AND_DCK3";"SC-70-5";"U8, U11, U15";"AND Gate";"";"";"";"296-SN74LVC1G08DCK3TR-ND";"  Texas Instruments";"595-SN74LVC1G08DCK3";"SN74LVC1G08DCK3";"";"";"";"";"";"";"";
"1";"LTC6820";"LTC6820";"MSOP-16";"U5";"LTC6820 isoSPI Isolated Communications Interface";"";"";"";"";"Analog Devices";"";"LTC6820IMS#PBF";"";"";"";"";"";"";"";
"4";"MAX7404";"MAX7404";"SOIC-08(NARROW,0.15")";"U19, U26, U28, U30";"8th-Order Maxim Filter";"";"";"";"MAX7404CSA+-ND";"Maxim Integrated";"700-MAX7404CSA";"MAX7404CSA+";"";"";"";"";"";"";"";
"12";"OPAMP_1_CHANNEL_OPA991";"OPAMP_1_CHANNEL_OPA991";"SC-70-5";"U4, U7, U9, U10, U12, U13, U14, U18, U20, U22, U27, U29";"Op-Amp 1 Channel";"";"";"";"296-OPA991IDCKRCT-ND";"Texas Instruments";"595-OPA991IDCKR";"OPA991IDCKR";"";"";"";"";"";"";"";
"3";"RELAY_SOLIDSTATE_NO";"RELAY_SOLIDSTATE_NO";"DIP-4";"U$2, U1, U16";"AQY214EH Normally Open Solid State Relay";"";"";"";"";"";"";"AQY214EHA";"";"";"";"";"";"";"";
"1";"RESISTOR_0603_1.4K";"RESISTOR_0603_1.4K";"0603-RES";"R11";"Resistor";"";"";"";"311-2465-1-ND";"Yageo";"603-RT0603DRE071K4L";"RT0603DRE071K4L";"0.1W";"";"1.4K";"0.5%";"";"75V";"75V";
"2";"RESISTOR_0603_10";"RESISTOR_0603_10";"0603-RES";"R21, R49";"Resistor";"";"";"";"311-10.0HRCT-ND";"Yageo";"603-RC0603FR-0710RL";"RC0603FR-0710RL";"0.1W";"";"10";"1%";"";"1V";"75V";
"2";"RESISTOR_0603_10.2K";"RESISTOR_0603_10.2K";"0603-RES";"R16, R19";"Resistor";"";"";"";"P10.2KDBCT-ND";"Panasonic Electronic Components";"667-ERA-3AEB1022V";"ERA-3AEB1022V";"0.1W";"";"10.2k";"0.1%";"";"31.94V";"75V";
"4";"RESISTOR_0603_10.5K";"RESISTOR_0603_10.5K";"0603-RES";"R35, R36, R37, R38";"Resistor";"";"";"";"P10.5KDBCT-ND";"Panasonic Electronic Components";"677-ERA-3AEB1052V";"ERA-3AEB1052V";"0.1W";"";"10.5k";"0.1%";"";"32.40V";"75V";
"1";"RESISTOR_0603_100K";"RESISTOR_0603_100K";"0603-RES";"R13";"Resistor";"";"";"";"YAG2294CT-ND";"Yageo";"603-RC0603JR-10100KL";"RC0603JR-10100KL";"0.1W";"";"100k";"5%";"";"75V";"75V";
"23";"RESISTOR_0603_10K";"RESISTOR_0603_10K";"0603-RES";"R9, R12, R23, R48, R54, R55, R58, R60, R61, R62, R64, R66, R68, R77, R78, R79, R80, R81, R82, R84, R85, R86, R87";"Resistor";"";"";"";"311-10.0KHRCT-ND";"Yageo";"603-RC0603FR-0710KL";"RC0603FR-0710KL";"0.1W";"";"10k";"1%";"";"31.62V";"75V";
"1";"RESISTOR_0603_11.3K";"RESISTOR_0603_11.3K";"0603-RES";"R42";"Resistor";"";"";"";"P11.3KDBCT-ND";"Panasonic Electronic Components";"667-ERA-3AEB1132V";"ERA-3AEB1132V";"0.1W";"";"11.3k";"0.1%";"";"33.62V";"75V";
"7";"RESISTOR_0603_11.5K";"RESISTOR_0603_11.5K";"0603-RES";"R20, R25, R26, R27, R28, R29, R33";"Resistor";"";"";"";"P11.5KDBCT-ND";"Panasonic Electronic Components";"667-ERA-3AEB1152V";"ERA-3AEB1152V";"0.1W";"";"11.5k";"0.1%";"";"33.91V";"75V";
"9";"RESISTOR_0603_12K";"RESISTOR_0603_12K";"0603-RES";"R15, R30, R43, R45, R52, R63, R65, R67, R69";"Resistor";"";"";"";"311-12.0KHRCT-ND";"Yageo";"603-RC0603FR-0712KL";"RC0603FR-0712KL";"0.1W";"";"12k";"1%";"";"34.64V";"75V";
"12";"RESISTOR_0603_1K";"RESISTOR_0603_1K";"0603-RES";"R1, R2, R3, R7, R8, R10, R31, R47, R50, R59, R70, R71";"Resistor";"";"";"";"311-1.00KHRCT-ND";"Yageo";"603-RC0603FR-071KL";"RC0603FR-071KL";"0.1W";"";"1k";"1%";"";"10.00V";"75V";
"1";"RESISTOR_0603_2.2K";"RESISTOR_0603_2.2K";"0603-RES";"R46";"Resistor";"";"";"";"13-RC0603DR-072K2LCT-ND";"Yageo";"603-RC0603DR-072K2L";"RC0603DR-072K2L";"0.1W";"";"2.2k";"0.5%";"";"75V";"75V";
"1";"RESISTOR_0603_215K";"RESISTOR_0603_215K";"0603-RES";"R41";"Resistor";"";"";"";"P215KDBCT-ND";"Panasonic Electronic Components";"667-ERA-3AEB2153V";"ERA-3AEB2153V";"0.1W";"";"215k";"0.1%";"";"75V";"75V";
"5";"RESISTOR_0603_2K";"RESISTOR_0603_2K";"0603-RES";"R34, R56, R72, R73, R74";"Resistor";"";"";"";"P2.0KBDCT-ND";"Panasonic Electronic Components";"667-ERA-3ARB202V";"ERA-3ARB202V";"0.1W";"";"2k";"0.1%";"";"14.14V";"75V";
"1";"RESISTOR_0603_30K";"RESISTOR_0603_30K";"0603-RES";"R51";"Resistor";"";"";"";"P30KBDCT-ND";"Panasonic Electronic Components";"667-ERA-3ARB303V";"ERA-3ARB303V";"0.1W";"";"30k";"0.1%";"";"54.77V";"75V";
"2";"RESISTOR_0603_4.12K";"RESISTOR_0603_4.12K";"0603-RES";"R5, R17";"Resistor";"";"";"";"P4.12KDBCT-ND";"Panasonic Electronic Components";"667-ERA-3AEB4121V";"ERA-3AEB4121V";"0.1W";"";"4.12k";"0.1%";"";"20.30V";"75V";
"4";"RESISTOR_0603_43K";"RESISTOR_0603_43K";"0603-RES";"R6, R14, R39, R44";"Resistor";"";"";"";"311-43.0KHRCT-ND";"Yageo";"603-RC0603FR-0743KL";"RC0603FR-0743KL";"0.1W";"";"43k";"1%";"";"65.57V";"75V";
"3";"RESISTOR_0603_470";"RESISTOR_0603_470";"0603-RES";"R57, R75, R76";"Resistor";"";"";"";"P470BYCT-ND";"Panasonic Electronic Components";"667-ERJ-PA3F4700V";"ERJ-PA3F4700V";"0.25W";"";"470";"1%";"";"10.84V";"150V";
"2";"RESISTOR_0603_60.4";"RESISTOR_0603_60.4";"0603-RES";"R53, R83";"Resistor";"";"";"";"311-60.4HRCT-ND";"Yageo";"603-RC0603FR-0760R4L";"RC0603FR-0760R4L";"0.1W";"";"60.4";"1%";"";"2.48V";"75V";
"1";"RESISTOR_0603_84.5K";"RESISTOR_0603_84.5K";"0603-RES";"R24";"Resistor";"";"";"";"P84.5KDBCT-ND";"Panasonic Electronic Components";"667-ERA-3AEB8452V";"ERA-3AEB8452V";"0.1W";"";"84.5k";"0.1%";"";"75V";"75V";
"5";"RESISTOR_0603_DNP";"RESISTOR_0603_DNP";"0603-RES";"R4, R18, R22, R32, R40";"Resistor";"";"";"";"";"";"";"";"";"";"DNP";"";"";"";"";
"1";"RESISTOR_NETWORK_4_100";"RESISTOR_NETWORK_4_100";"1206-RES-ARRAY";"RN1";"Resistor Network, 4 Elements";"";"";"";"CAT16-1000F4LFCT-ND";"Bourns Inc.";"652-CAT16-1000F4LF";"CAT16-1000F4LF";"1/16W";"";"100";"1%";"50V";"";"";
"5";"SCHOTTKY";"SCHOTTKY";"CLP1608-2L";"D5, D7, D8, D9, D12";"Schottky Rectifier Diode";"";"";"";"112-VSKY20401608-G4-08CT-ND";"Vishay General Semiconductor - Diodes Division";"78-VSKY20401608G408";"VSKY20401608-G4-08";"";"";"";"";"";"";"";
