Designator,Mid X,Mid Y,Layer,Rotation
3.3V,78.23,73.19,Top,0.0
5V,78.23,76.91,Top,0.0
12V,78.23,80.46,Top,0.0
AMS_OK,78.23,85.58,Top,0.0
BSPD_CURRENT,109.28,41.14,Top,0.0
C1,121.34,33.43,Top,270.0
C2,130.12,29.70,Top,270.0
C8, 7.31,18.42,Top,180.0
C9,132.38,17.35,Top,270.0
C10,126.97,16.03,Top,180.0
C11,57.11,33.06,Top,270.0
C12,34.50,36.13,Top,270.0
C13,50.48,35.42,Top,180.0
C14,142.73,61.32,Top,0.0
C15,147.84,60.09,Top,270.0
C16,31.68,31.49,Top,270.0
C20,47.81,40.30,Top,180.0
C22,21.75,27.60,Top,0.0
C23,53.70,38.57,Top,180.0
C24,29.52,26.61,Top,180.0
C25,53.75,26.43,Top,180.0
C26,139.19,20.23,Top,180.0
C27,38.23,31.61,Top,270.0
C28,122.50,46.62,Top,0.0
C29,126.56,47.51,Top,0.0
C30,124.66,41.03,Top,270.0
C31,146.55,19.34,Top,180.0
C32,146.55,17.81,Top,180.0
C33,75.16,105.27,Top,270.0
C34,80.44,105.23,Top,90.0
C35,172.46,58.48,Top,0.0
C36,163.31,62.10,Top,90.0
C37,73.30,26.52,Top,180.0
C39,77.37,26.52,Top,0.0
C40,75.46,21.01,Top,90.0
C43,82.32,26.52,Top,180.0
C45,131.39,47.51,Top,180.0
C46,122.37,55.76,Top,0.0
C47,126.56,56.78,Top,0.0
C48,124.66,50.17,Top,270.0
C49,131.52,56.65,Top,180.0
C50,72.62,35.84,Top,180.0
C51,77.06,36.83,Top,0.0
C52,75.16,30.23,Top,270.0
C53,82.02,36.83,Top,180.0
CURRENT_REF,109.28,50.80,Top,0.0
CURRENT_SENSE,109.28,46.77,Top,0.0
D1,107.21,23.28,Top,0.0
D2,21.59,21.59,Top,270.0
D3,10.19,15.09,Top,270.0
D4,69.97,69.73,Top,0.0
D5,92.26,94.07,Top,180.0
D6,41.31,58.11,Top,0.0
D9,136.29,23.02,Top,0.0
D10,167.11,50.80,Top,180.0
D11,112.04,92.16,Top,90.0
D12,143.41,80.15,Top,225.0
D13,121.39,80.28,Top,0.0
D14,167.11,49.23,Top,180.0
IMD_OK,78.23,89.56,Top,0.0
PACK+_OUT_TEST,67.31,36.83,Top,180.0
Q1,63.19,69.81,Top,90.0
Q2,109.86,84.81,Top,90.0
R1,73.25,76.91,Top,0.0
R2,73.15,73.15,Top,0.0
R4,49.15,30.88,Top,270.0
R5,50.68,30.88,Top,270.0
R7,73.25,85.57,Top,0.0
R8,112.04,89.33,Top,90.0
R9, 6.80,25.03,Top,0.0
R10, 3.25,21.47,Top,90.0
R11, 4.77,21.47,Top,270.0
R12,164.05,57.58,Top,90.0
R13,172.52,61.74,Top,180.0
R14,89.62,94.01,Top,180.0
R15,89.65,92.38,Top,0.0
