"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","DKPN","GAUGE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","ADG1423","U2","200","","","ADG1423BRMZ-REEL7CT-ND","","Analog Devices Inc.","584-ADG1423BRMZ","ADG1423BRMZ","","","","","","","",
"1","3","ADM8316WBX30","U6","200","","","ADM8316WBX30ARJZR7TR-ND","","Analog Devices Inc.","584-M8316WBX30ARJZR7","ADM8316WBX30ARJZR7","","","","","","","",
"23","33","CAPACITOR_0603_10V_0.1UF","C11, C12, C13, C14, C16, C20, C22, C23, C24, C25, C26, C27, C29, C30, C31, C35, C36, C39, C40, C47, C48, C51, C52","43","0.1µF","","720-1688-1-ND","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","10V","","",
"3","13","CAPACITOR_0603_10V_10NF","C4, C15, C33","333","10nF","","311-4054-1-ND","","Yageo","603-CC603KRX7R6BB103","CC0603KRX7R6BB103","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_1UF","C9, C32","500","1µF","","311-1796-1-ND","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_4.7UF","C5, C10","500","4.7µF","","1276-1044-1-ND","","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","","10%","10V","","",
"4","14","CAPACITOR_0603_10V_680PF","C43, C45, C49, C53","250","680pF","","732-7757-1-ND","","Würth Elektronik","710-885012006013","885012006013","","","","5%","10V","","",
"6","16","CAPACITOR_0603_25V_0.1UF","C7, C8, C28, C37, C46, C50","167","0.1µF","","1276-1006-1-ND","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","","10%","25V","","",
"2","12","CAPACITOR_0603_25V_10UF","C1, C2","500","10µF","","490-7202-1-ND","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","20%","25V","","",
"2","12","CAPACITOR_0603_25V_1UF","C3, C6","500","1µF","","1276-1184-1-ND","","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","","10%","25V","","",
"1","3","CONNECTOR-12_MF_T_V_","J5","200","","","","","MOLEX","","430451214","","","","","","","",
"1","3","CONNECTOR-14_MF_T_V_","J6","200","","","","","MOLEX","","430451414","","","","","","","",
"1","3","CONNECTOR-2_MF_T_V_","J4","200","","","","","MOLEX","","436500217","","","","","","","",
"1","3","CONNECTOR-8_MF_T_V_","J2","200","","","","","MOLEX","","430450814","","","","","","","",
"1","3","CONNECTOR-8_S_S","J3","200","","","S7107-ND","","Sullins Connector Solutions","","PPPC042LFBN-RC","","","","","","","",
"1","3","CONNECTOR-CAN_μF_S_RA_","J1","200","","","WM1832CT-ND","","Molex","538-43045-0411","0430450411","","","","","","","",
"24","48","CRIMP_MICROFIT_20-24","O4, O5, O6, O7, O8, O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22, O23, O24, O25, O26, O27","100","","","WM2776CT-ND","20-24","Molex","538-43030-0003","0430300003","","","","","","","",
