Comment,Designator,Footprint,LCSC Part #
ATMEGA328P-AU,U1,TQFP-32,
CAPACITOR_0603_10V_0.1UF,C4 C6 C7 C8 C9 C10 C11 C12 C14 C15 C16 C17,0603-CAP,
CAPACITOR_0603_10V_4.7NF,C13,0603-CAP,
CAPACITOR_0603_10V_15PF,C1 C2 C18 C19,0603-CAP,
CAPACITOR_0603_25V_0.1UF,C5,0603-CAP,
CAPACITOR_0603_25V_1.2NF,C3,0603-CAP,
CONNECTOR-6_μF_S_RA_,J2,MOLEX_MICROFIT_SMD_RIGHTANGLE_06_DUAL,
CONNECTOR-8_μF_S_RA_,J4,MOLEX_MICROFIT_SMD_RIGHTANGLE_08_DUAL,
CONNECTOR-AVR-ISP_2X05_SMD,J1,2X05_SMD,
CONNECTOR-CAN_μF_S_RA_,J3,MOLEX_MICROFIT_SMD_RIGHTANGLE_04_DUAL,
CRYSTAL_16MHZ,X1 X2,ECX-42,
FUSE_HOLDER_MINIBLADESMD,XF1,3588,
INDUCTOR_LQM18DH100M70_10UH,L1,0603-IND,
JUMPER_0603_,J5,0603-RES,
LED_0603_BLUE,D7,0603-LED,
LED_0603_GREEN,D6,0603-LED,
LED_0603_ORANGE,D5,0603-LED,
MCP23S08,U3,SSOP-20,
MCP2515,U5,TSSOP-20,
MCP2562FD,U4,SOIC-08(NARROW 0.15"),
OKL-T/1-W12N-COKL,A1,OKL-T/1-W12,
RE46C100,U2,SOIC-08(NARROW 0.15"),
RESISTOR_0603_1.5M,R10,0603-RES,
RESISTOR_0603_2.18K,R19,0603-RES,
RESISTOR_0603_10K,R11 R13 R21,0603-RES,
RESISTOR_0603_15,R1 R8 R12 R14 R17,0603-RES,
RESISTOR_0603_30K,R2 R3 R4,0603-RES,
RESISTOR_0603_43K,R5 R6 R7,0603-RES,
RESISTOR_0603_60.4,R18 R20,0603-RES,
RESISTOR_0603_100,R9,0603-RES,
RESISTOR_0603_150K,R15,0603-RES,
RESISTOR_0805_22,R16 R22,0805-RES,
RESISTOR_NETWORK_4_1K,RN6,1206-RES-ARRAY,
RESISTOR_NETWORK_4_10,RN2 RN8,1206-RES-ARRAY,
RESISTOR_NETWORK_4_10K,RN1 RN4,1206-RES-ARRAY,
RESISTOR_NETWORK_4_100,RN3,1206-RES-ARRAY,
RESISTOR_NETWORK_4_160,RN5 RN7,1206-RES-ARRAY,
SCHOTTKY_SOD323_30V,D1 D2 D3,SOD-323,
TEST_POINT,TP1 TP2 TP3 TP4,5015,
TRANSISTOR_N_MOS__PMV15ENEA,Q1 Q2 Q3 Q4 Q5 Q6,SOT-23,
TVS_15V,D4,SOT-23,
TVS_ARRAY_5V,DN1 DN2,SOT-363,
