"Qty","Value","Parts","ALT_DKPN","ALT_MANUFACTURER","ALT_MOPN","ALT_MPN","ATTRITION","CAPACITANCE","COLOR","CURRENT","CURRENT_RATED","CURRENT_SATURATION","DCR","DKPN","FREQUENCY","GAUGE","INDUCTANCE","LOAD_CAPACITANCE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","SHUNT_CAPACITANCE","TOLERANCE","VIN","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX","VOLUME","VOUT",
"1","ATMEGA328P-AU","U1","","","","","10","","","","","","","ATMEGA328P-AURCT-ND","","","","","Microchip Technology","556-ATMEGA328P-AU","ATMEGA328P-AU","","","","","","","","","","",
"1","BUZZER_3_PIN_CPT-3011C-120","LS100","","","","","33","","","","","","","102-3762-ND","3kHz","","","","CUI Devices","490-CPT-3011C-120 ","CPT-3011C-120","","","","","","12V","","","85dB","",
"12","CAPACITOR_0603_10V_0.1UF","C4, C6, C7, C8, C9, C10, C11, C12, C14, C15, C16, C17","","","","","33","0.1µF","","","","","","720-1688-1-ND","","","","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","","10V","","","","",
"4","CAPACITOR_0603_10V_15PF","C1, C2, C18, C19","","","","","33","15pF","","","","","","720-VJ0603A150FXQPW1BCCT-ND","","","","","Vishay Vitramon","77-VJ0603A150FXQPBC","VJ0603A150FXQPW1BC","","","","1%","","10V","","","","",
"1","CAPACITOR_0603_10V_4.7NF","C13","","","","","33","4.7nF","","","","","","732-7931-1-ND","","","","","Würth Elektronik","710-885012206012","885012206012","","","","10%","","10V","","","","",
"1","CAPACITOR_0603_25V_0.1UF","C5","","","","","33","0.1µF","","","","","","1276-1006-1-ND","","","","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","","10%","","25V","","","","",
"1","CAPACITOR_0603_25V_1.2NF","C3","","","","","33","1.2nF","","","","","","311-4079-2-ND","","","","","YAGEO","603-CC603KRX7R8BB122 ","CC0603KRX7R8BB122","","","","10%","","25V","","","","",
"1","CONNECTOR-6_μF_S_RA_","J2","","","","","33","","","","","","","WM1833CT-ND","","","","","Molex","538-43045-0611","0430450611","","","","","","","","","","",
"1","CONNECTOR-8_μF_S_RA_","J4","","","","","33","","","","","","","WM1834CT-ND","","","","","Molex","538-43045-0811","0430450811","","","","","","","","","","",
"1","CONNECTOR-AVR-ISP_2X05_SMD","J1","","","","","33","","","","","","","S2011EC-03-ND","","","","","Sullins Connector Solutions","","PRPC003DAAN-RC","","","","","","","","","","",
"1","CONNECTOR-CAN_μF_S_RA_","J3","","","","","33","","","","","","","WM1832CT-ND","","","","","Molex","538-43045-0411","0430450411","","","","","","","","","","",
"18","CRIMP_MICROFIT_20-24","O6, O7, O8, O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22, O23","","","","","100","","","","","","","WM2776CT-ND","","20-24","","","Molex","538-43030-0003","0430300003","","","","","","","","","","",
"1","CRIMP_NANOFIT_20-22","O5","","","","","100","","","","","","","WM15011TR-ND","","20-22","","","Molex","538-105300-2300","105300-2300","","","","","","","","","","",
"2","CRYSTAL_16MHZ","X1, X2","","","","","10","","","","","","","XC2566CT-ND","16 MHz","","","10pF","TXC CORPORATION","520-160-10-42-CKMT","ECS-160-10-42-CKM-TR","","","2 - 5 pF","","","","","","","",
"1","FUSE_HOLDER_MINIBLADESMD","XF1","","","","","10","","","","","","","36-3588-ND","","","","","Keystone Electronics","534-3588","3588","","","","","","","","","","",
"1","FUSE_MINI_BLADE_2","O4","","","","","100","","","","","","","F986-ND","","","","","Littelfuse Inc.","576-0297002.WXNV","0297002.WXNV","","","","","","","","","","",
"1","INDUCTOR_LQM18DH100M70_10UH","L1","","","","","33","","","","300mA","100mA ","1.37Ω","490-LQM18DH100M70LTR-ND","","","10µH","","Murata Electronics","81-LQM18DH100M70L ","LQM18DH100M70L","","","","20%","","","","","","",
"1","JUMPER_0603_","J5","","","","","33","","","","","","","13-RC0603FR-130RLTR-ND","","","","","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","","","","",
"1","LED_0603_BLUE","D7","","","","","33","","Blue","","","","","754-1789-1-ND","","","","","Kingbright","604-APT1608VBC/D","APT1608VBC/D","","","","","","","","","","",
