Designator,Mid X,Mid Y,Layer,Rotation
A1, 1.91,34.29,Top,0.0
C1,12.70, 3.18,Top,270.0
C2, 3.33, 3.18,Top,90.0
C3,-45.72, 8.26,Top,90.0
C4,98.83,17.78,Top,270.0
C5,-52.07,19.69,Top,90.0
C6,13.86,20.04,Top,0.0
C7, 8.86,20.29,Top,90.0
C8,98.83,21.59,Top,270.0
C9,13.86,22.20,Top,0.0
C10,19.94,22.23,Top,270.0
C11,18.24,22.25,Top,270.0
C12,13.86,24.87,Top,0.0
C13,31.75,30.48,Top,180.0
C14,20.88,31.37,Top,180.0
C15,36.73,33.02,Top,90.0
C16,34.93,33.02,Top,90.0
C17,10.79,34.93,Top,90.0
C18,19.05,38.10,Top,270.0
C19,10.21,38.96,Top,270.0
D1,55.88,14.61,Top,270.0
D2,53.34,14.61,Top,270.0
D3,50.80,14.61,Top,270.0
D4,-81.82,18.97,Top,90.0
D5, 5.08,19.05,Top,0.0
D6,13.97,34.93,Top,90.0
D7,-17.14,38.10,Top,180.0
DN1,-1.91, 3.18,Top,180.0
DN2,-1.91,12.70,Top,90.0
J1,26.04, 8.26,Top,180.0
J2,88.27,24.77,Top,180.0
J3,-71.76,25.40,Top,180.0
J4,57.15,29.21,Top,180.0
J5,31.75,34.29,Top,180.0
L1,10.44,20.29,Top,90.0
Q1,-12.07, 5.71,Top,90.0
Q2,-12.07,11.43,Top,90.0
Q3,-12.07,17.14,Top,90.0
Q4,-12.07,22.86,Top,90.0
Q5,-12.07,28.58,Top,90.0
Q6,-12.07,34.29,Top,90.0
R1,-17.14, 5.71,Top,90.0
R2,55.88, 7.62,Top,270.0
R3,53.34, 7.62,Top,270.0
R4,50.80, 7.62,Top,270.0
R5,55.88,11.20,Top,270.0
R6,53.34,11.20,Top,270.0
R7,50.80,11.20,Top,270.0
R8,-17.14,11.43,Top,90.0
R9,15.88,12.07,Top,0.0
R10,-47.65,15.06,Top,180.0
R11,25.27,16.00,Top,0.0
R12,-17.14,17.14,Top,90.0
R13,-40.64,19.05,Top,90.0
R14, 1.73,20.96,Top,180.0
R15,-59.89,22.83,Top,90.0
R16,-17.14,22.86,Top,90.0
R17,-17.14,28.58,Top,90.0
R18,34.93,30.48,Top,0.0
R19,10.16,30.48,Top,270.0
R20,31.75,32.38,Top,180.0
R21,20.96,33.02,Top,0.0
R22,-17.14,34.29,Top,90.0
RN1,-1.91, 6.99,Top,270.0
RN2,-6.99, 8.26,Top,90.0
RN3,16.43,15.21,Top,270.0
RN4,-1.91,15.88,Top,270.0
RN5,34.93,20.96,Top,270.0
RN6, 5.08,22.86,Top,180.0
RN7,34.93,25.40,Top,270.0
RN8,-6.99,28.58,Top,90.0
U1, 8.26,12.70,Top,90.0
U2,-47.63,19.05,Top,270.0
U3,25.40,24.13,Top,270.0
U4,41.91,32.38,Top,270.0
U5,26.04,34.29,Top,90.0
X1, 8.23, 4.34,Top,0.0
X2,15.27,38.38,Top,180.0
XF1,73.66,24.13,Top,90.0
