"Board Quantity","Ordering Quantity","Value","Reference","ALT_DKPN","ALT_MANUFACTURER","ALT_MOPN","ALT_MPN","ATTRITION","BATTERY_TYPE","CAPACITANCE","COLOR","CURRENT","DKPN","FUSE_TYPE","GAUGE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","ADM8316WBX30","U2","","","","","200","","","","","ADM8316WBX30ARJZR7TR-ND","","","Analog Devices Inc.","584-M8316WBX30ARJZR7","ADM8316WBX30ARJZR7","","","","","","","",
"1","2","BATTERY_CR-1/3N","O30","","","","","100","1/3N","","","","SY100-ND","","","FDK America"," Inc."," a member of Fujitsu Group","639-CR1/3N","CR-1-3N","","","","","3V",
"1","3","BATTERY_HOLDER_KEYSTONE_498","XB1","","","","","200","1/3N","","","","36-498-ND","","","Keystone Electronics","534-498","498","","","","","","","",
"1","3","BUTTON","LATCH_BUTTON","","","","","200","","","","","SW415-ND ","","","Omron","653-B3S-1000","B3S-1000","","","","","","","",
"8","18","CAPACITOR_0603_10V_0.1UF","C1, C2, C3, C4, C100, C101, C102, C103","","","","","125","","0.1µF","","","720-1688-1-ND","","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","10V","","",
"1","11","CAPACITOR_0603_10V_1UF","C5","","","","","1000","","1µF","","","311-1796-1-ND","","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_4.7NF","C8","","","","","1000","","4.7nF","","","732-7931-1-ND","","","Würth Elektronik","710-885012206012","885012206012","","","","10%","10V","","",
"2","12","CAPACITOR_0603_25V_10UF","C6, C7","","","","","500","","10µF","","","490-7202-1-ND","","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","20%","25V","","",
"2","4","CONNECTOR-2_μF_T_V_","POWER, SHDN_BTN","","","","","100","","","","","WM10657-ND","","","Molex","538-43045-0227","0430450227","","","","","","","",
"1","3","CONNECTOR-6_MF_T_V_","CHG_CAN","","","","","200","","","","","","","","MOLEX","","430450614","","","","","","","",
"1","3","CONNECTOR-8_MF_T_V_","MAIN_CONNECTOR","","","","","200","","","","","","","","MOLEX","","430450814","","","","","","","",
"1","3","CONNECTOR-CAN_MF_T_V_","AUX_CAN","","","","","200","","","","","","","","Molex","","430450414","","","","","","","",
"22","44","CRIMP_MICROFIT_20-24","O1, O2, O3, O4, O5, O6, O7, O8, O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22","","","","","100","","","","","WM2776CT-ND","","20-24","Molex","538-43030-0003","0430300003","","","","","","","",
"2","4","FUSE_HOLDER_MINIBLADEPTH","XF1, XF2","","","","","100","","","","","36-3568-ND","","","Keystone","534-3568","3568","","","","","","","",
"2","4","FUSE_MINI_BLADE_2","O23, O24","","","","","100","","","","2A","F986-ND","MINI 297","","Littelfuse Inc.","576-0297002.WXNV","0297002.WXNV","","","","","","","",
"1","2","JUMPER_0603_","F_SELECT","","","","","100","","","","","13-RC0603FR-130RLTR-ND","","","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","",
"1","11","JUMPER_0603_","E_SELECT","","","","","1000","","","","","13-RC0603FR-130RLTR-ND","","","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","",
"2","4","JUMPER__1X02","4.1_ONLY, CAN_TERM","","","","","100","","","","","WM23656-ND","","","Molex","538-90120-1082","90120-1082 ","","","","","","","",
"1","11","LED_0603_BLUE","5V_PWR","","","","","1000","","","Blue","","754-1789-1-ND","","","Kingbright","604-APT1608VBC/D","APT1608VBC/D","","","","","","","",
"2","12","LED_0603_GREEN","BMS_OK, CCU_OK","","","","","500","","","Green","","754-1790-1-ND","","","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","",
"5","15","LED_0603_ORANGE","SHDN_B, SHDN_C, SHDN_D, SHDN_E, SHDN_F","","","","","200","","","Orange","","754-1120-1-ND","","","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","","",
