"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","DKPN","ESR","FUSE_TYPE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","11","CAPACITOR_0603_10V_1UF","C11","1000","1µF","","","311-1796-1-ND","","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_680PF","C9","1000","680pF","","","732-7757-1-ND","","","Würth Elektronik","710-885012006013","885012006013","","","5%","10V","","",
"2","12","CAPACITOR_0603_10V_68NF","C8, C13","500","68nF","","","399-C0603C683K8RAC7867CT-ND","","","KEMET","80-C0603C683K8R","C0603C683K8RACTU","","","10%","10V","","",
"3","13","CAPACITOR_0603_25V_0.1UF","C10, C100, C103","333","0.1µF","","","1276-1006-1-ND","","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","10%","25V","","",
"4","14","CAPACITOR_0603_25V_10UF","C2, C4, C7, C102","250","10µF","","","490-7202-1-ND","","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","20%","25V","","",
"3","13","CAPACITOR_0603_25V_1UF","C3, C101, C104","333","1µF","","","1276-1184-1-ND","","","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","10%","25V","","",
"2","12","CAPACITOR_0603_25V_47NF","C5, C6","500","47nF","","","478-6340-1-ND","","","Kyocera AVX","581-06033C473K42ZA","06033C473K4Z2A","","","10%","25V","","",
"1","11","CAPACITOR_0603_35V_1UF","C12","1000","1µF","","","445-173625-1-ND","","","TDK Corporation","810-C1608X7R1V105KAE","C1608X7R1V105K080AE","","","10%","35V","","",
"1","11","CAPACITOR_1206_25V_33UF","C105","1000","33µF","","","445-8046-1-ND","","","TDK Corporation","810-C3216X5R1E336M","C3216X5R1E336M160AC","","","20%","25V","","",
"1","3","CONNECTOR-3_8STA20435PN","J2","200","","","","","","","Souriau","","8STA20435PN","","","","","","",
"2","4","CONNECTOR-4_SOURIAU_","J1, J3","100","","","","","","","Souriau","","8STA21204PN","","","","","","",
"1","3","EEUFP1E681","C1","200","680uF","","","P123947-ND","0.068","","Panasonic Electronic Components","667-EEU-FP1E681","EEU-FP1E681","","","20%","25V","","",
"4","6","FUSE_HOLDER_MINIBLADEPTH","XF1, XF2, XF3, XF4","50","","","","36-3568-ND","","MINI 297","Keystone","534-3568","3568","","","","","","",
"4","8","FUSE_MINI_BLADE_10","O1, O2, O3, O4","100","","","","F991-ND","","","Littelfuse Inc.","576-0297010.WXNV","0297010.WXNV","","","","","","",
"4","14","LED_0603_BLUE","D7, D8, D9, D17","250","","Blue","","754-1789-1-ND","","","Kingbright","604-APT1608VBC/D","APT1608VBC/D","","","","","","",
"2","12","LED_0603_GREEN","D11, D12","500","","Green","","754-1790-1-ND","","","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","",
"1","11","LED_0603_ORANGE","D10","1000","","Orange","","754-1120-1-ND","","","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","",
"2","12","LED_0603_RED","D15, D16","500","","Red","","754-1786-1-ND","","","Kingbright","604-APT1608SECKJ3PRV","APT1608SECK/J3-PRV","","","","","","",
"2","12","LED_0603_YELLOW","D13, D14","500","","Yellow","","754-1788-1-ND","","","Kingbright","604-APT1608SYCK/J3-PRV","APT1608SYCK/J3-PRV","","","","","","",
