"Board Quantity","Ordering Quantity","Value","Reference","ALT_DKPN","ALT_MANUFACTURER","ALT_MOPN","ALT_MPN","ATTRITION","CAPACITANCE","COLOR","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","11","CAPACITOR_0603_10V_0.1UF","C1","","","","","1000","0.1µF","","720-1688-1-ND","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","10V","","",
"1","11","CAPACITOR_0603_10V_1UF","C2","","","","","1000","1µF","","311-1796-1-ND","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_4.7UF","C3","","","","","1000","4.7µF","","1276-1044-1-ND","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","","10%","10V","","",
"1","11","CAPACITOR_0603_25V_1UF","C4","","","","","1000","1µF","","1276-1184-1-ND","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","","10%","25V","","",
"4","6","CONNECTOR-4_μF_S_RA_","J4, J5, J6, J7","","","","","50","","","WM1832CT-ND","Molex","538-0430450411","0430450411","","","","","","","",
"1","3","CONNECTOR-CAN_μF_S_RA_","J9","","","","","200","","","WM1832CT-ND","Molex","538-43045-0411","0430450411","","","","","","","",
"1","11","JUMPER_0603_","J10","","","","","1000","","","13-RC0603FR-130RLTR-ND","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","",
"2","12","LED_0603_RED","D1, D2","","","","","500","","Red","754-1786-1-ND","Kingbright","604-APT1608SECKJ3PRV","APT1608SECK/J3-PRV","","","","","","","",
"1","3","MCP2562FD","U2","MCP2562-E/SN-ND","Microchip Technology","579-MCP2562-E/SN","MCP2562-E/SN","200","","","MCP2562FD-E/SN-ND","Microchip Technology","579-MCP2562FD-E/SN","MCP2562FD-E/SN","","","","","","","",
"5","15","RESISTOR_0603_10K","R1, R7, R9, R11, R13","","","","","200","","","311-10.0KHRCT-ND","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","","1%","","31.62V","75V",
"4","14","RESISTOR_0603_12K","R8, R10, R12, R14","","","","","250","","","311-12.0KHRCT-ND","Yageo","603-RC0603FR-0712KL","RC0603FR-0712KL","0.1W","12k","","1%","","34.64V","75V",
"1","11","RESISTOR_0603_1K","R18","","","","","1000","","","311-1.00KHRCT-ND","Yageo","603-RC0603FR-071KL","RC0603FR-071KL","0.1W","1k","","1%","","10.00V","75V",
"1","11","RESISTOR_0603_470","R19","","","","","1000","","","P470BYCT-ND","Panasonic Electronic Components","667-ERJ-PA3F4700V","ERJ-PA3F4700V","0.25W","470","","1%","","10.84V","150V",
"1","3","TEENSY_4.0","A2","","","","","200","","","","","","","","","4.0","","","","",
"1","3","VOLTAGE_REGULATOR_SOT-223_5V","U1","","","","","200","","","497-17240-1-ND","STMicroelectronics","511-LDL1117S50R","LDL1117S50R","","","","","","","",
