"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCE";"COLOR";"CURRENT";"CURRENT_RATED";"CURRENT_SATURATION";"DCR";"DKPN";"INDUCTANCE";"MANUFACTURER";"MOPN";"MPN";"POWER";"RESISTANCE";"TOLERANCE";"VOLTAGE";"VOLTAGE_CONTINUOUS";"VOLTAGE_MAX";
"6";"CAPACITOR_0603_10V_0.1UF";"CAPACITOR_0603_10V_0.1UF";"0603-CAP";"C5, C9, C10, C11, C42, C43";"Capacitor, Non-Polarized";"0.1µF";"";"";"";"";"";"720-1688-1-ND";"";"Vishay Vitramon";"77-VJ0603Y104JXQPBC";"VJ0603Y104JXQPW1BC";"";"";"5%";"10V";"";"";
"3";"CAPACITOR_0603_10V_10NF";"CAPACITOR_0603_10V_10NF";"0603-CAP";"C35, C48, C49";"Capacitor, Non-Polarized";"10nF";"";"";"";"";"";"311-4054-1-ND";"";"Yageo";"603-CC603KRX7R6BB103";"CC0603KRX7R6BB103";"";"";"10%";"10V";"";"";
"8";"CAPACITOR_0603_10V_1UF";"CAPACITOR_0603_10V_1UF";"0603-CAP";"C38, C39, C40, C41, C44, C45, C46, C47";"Capacitor, Non-Polarized";"1µF";"";"";"";"";"";"311-1796-1-ND";"";"Yageo";"603-CC603KRX7R6BB105";"CC0603KRX7R6BB105";"";"";"10%";"10V";"";"";
"1";"CAPACITOR_0603_10V_4.7UF";"CAPACITOR_0603_10V_4.7UF";"0603-CAP";"C7";"Capacitor, Non-Polarized";"4.7µF";"";"";"";"";"";"1276-1044-1-ND";"";"Samsung Electro-Mechanics";"187-CL10A475KP8NNNC";"CL10A475KP8NNNC";"";"";"10%";"10V";"";"";
"2";"CAPACITOR_0603_25V_0.1UF";"CAPACITOR_0603_25V_0.1UF";"0603-CAP";"C8, C37";"Capacitor, Non-Polarized";"0.1µF";"";"";"";"";"";"1276-1006-1-ND";"";"Samsung Electro-Mechanics";"187-CL10B104KA8NNNC";"CL10B104KA8NNNC";"";"";"10%";"25V";"";"";
"1";"CAPACITOR_0603_25V_10UF";"CAPACITOR_0603_25V_10UF";"0603-CAP";"C27";"Capacitor, Non-Polarized";"10µF";"";"";"";"";"";"490-7202-1-ND";"";"Murata Electronics";"81-GRM188R61E106MA3D";"GRM188R61E106MA73D";"";"";"20%";"25V";"";"";
"3";"CAPACITOR_0603_25V_1UF";"CAPACITOR_0603_25V_1UF";"0603-CAP";"C6, C28, C36";"Capacitor, Non-Polarized";"1µF";"";"";"";"";"";"1276-1184-1-ND";"";"Samsung Electro-Mechanics";"187-CL10B105KA8NNNC";"CL10B105KA8NNNC";"";"";"10%";"25V";"";"";
"1";"CAPACITOR_0603_35V_0.1UF";"CAPACITOR_0603_35V_0.1UF";"0603-CAP";"C29";"Capacitor, Non-Polarized";"0.1µF";"";"";"";"";"";"587-3354-1-ND";"";"Taiyo Yuden";"963-GMK107B7104KAHT";"GMK107B7104KAHT";"";"";"10%";"35V";"";"";
"1";"CAPACITOR_0805_25V_22UF";"CAPACITOR_0805_25V_22UF";"0805-CAP";"C34";"Capacitor, Non-Polarized";"22µF";"";"";"";"";"";"311-1903-1-ND";"";"Yageo";"603-CC805MKX5R8BB226";"CC0805MKX5R8BB226";"";"";"20%";"25V";"";"";
"2";"CAPACITOR_1206_250V_0.1UF";"CAPACITOR_1206_250V_0.1UF";"1206-CAP";"C3, C4";"Capacitor, Non-Polarized";"0.1uF";"";"";"";"";"";"445-6079-2-ND";"";"TDK Corporation";"810-C3216X7R2E104KT5";"C3216X7R2E104K160AM";"";"";"10%";"250V";"";"";
"3";"CAPACITOR_2220_250V_1UF";"CAPACITOR_2220_250V_1UF";"2220-CAP";"C31, C32, C33";"Capacitor, Non-Polarized";"1µF";"";"";"";"";"";"445-2304-2-ND";"";"TDK Corporation";"810-C5750X7R2E105K";"C5750X7R2E105K230KA";"";"";"10%";"250V";"";"";
"2";"CAPACITOR_2220_630V_0.1UF";"CAPACITOR_2220_630V_0.1UF";"2220-CAP";"C1, C2";"Capacitor, Non-Polarized";"0.1uF";"";"";"";"";"";"445-11980-2-ND";"";"TDK Coporation";"810-C5750CH2J104K2KC";"C5750CH2J104K280KC";"";"";"10%";"630V";"";"";
"3";"CAPACITOR_2220_630V_1UF";"CAPACITOR_2220_630V_1UF";"2220-CAP";"C24, C25, C30";"Capacitor, Non-Polarized";"1µF";"";"";"";"";"";"1608-2220Y6300105KXTWS2CT-ND";"";"Knowles Syfer";"843-2220Y63105KXTWS2";"2220Y6300105KXTWS2";"";"";"10%";"630V";"";"";
