Comment,Designator,Footprint,LCSC Part #
CAPACITOR_0603_10V_0.1UF,C10,0603-CAP,
CAPACITOR_0603_10V_1UF,C38 C39 C40 C45 C46 C47,0603-CAP,
CAPACITOR_0603_10V_10NF,C35 C48 C49,0603-CAP,
CAPACITOR_0603_25V_0.1UF,C37,0603-CAP,
CAPACITOR_0603_25V_1UF,C36,0603-CAP,
CAPACITOR_0805_25V_22UF,C34,0805-CAP,
CAPACITOR_1206_250V_0.1UF,C3 C4,1206-CAP,
CAPACITOR_2220_250V_1UF,C31 C32,2220-CAP,
CAPACITOR_2220_630V_0.1UF,C1 C2,2220-CAP,
CAPACITOR_2220_630V_1UF,C24 C25 C30,2220-CAP,
FUSE_0885_1.25,F2 F6,0885,
INDUCTOR_PA4334_,L4,PA4334,
INDUCTOR_SRU1048_330UH,L6,SRU1048,
INDUCTOR_WELMHI_,L5,WE-LMHI,
ISO224B_AIRGAP,U18,SOIC-08(WIDE 0.295")-AIRGAP,
ISO224B_AIRGAP,U19,SOIC-08(WIDE 0.295")-AIRGAP,
LED_0603_BLUE,D9 D11 D13,0603-LED,
LED_0603_GREEN,D4,0603-LED,
LED_0603_ORANGE,D2,0603-LED,
LED_0603_RED,D6,0603-LED,
LED_0603_WHITE,D5 D12,0603-LED,
LED_0603_YELLOW,D3,0603-LED,
LOGICGATE_INVERTER_DCKR,U15,SC-70-5,
LTC3639,U16,MSE16(12),
RELAY_SOLIDSTATE_NO_AG,U$1,DIP-4_AIRGAP,
RESISTOR_0603_1.62,R31,0603-RES,
RESISTOR_0603_1K,R28 R29 R30 R32 R35 R36 R52 R53 R54 R55 R63,0603-RES,
RESISTOR_0603_5.9K,R1 R2,0603-RES,
RESISTOR_0603_10,R37,0603-RES,
RESISTOR_0603_10K,R38 R47,0603-RES,
RESISTOR_0603_33.2K,R49 R50,0603-RES,
RESISTOR_0805_1,R26,0805-RES,
RESISTOR_0805_12.4,R27,0805-RES,
RESISTOR_0805_365K,R6 R7 R8 R9 R16 R17 R18 R19,0805-RES,
RESISTOR_GND_1.24K,R39,B20,
RESISTOR_GND_10K,R40 R41 R42,B20,
SCHOTTKY,D10,CLP1608-2L,
TEST_POINT,TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11 TP12 TP13 TP14 TP15 TP16 TP18 TP19 TP20,MICRO_MINIATURE,
TRANSISTOR_N_MOS__PMV15ENEA,Q2,SOT-23,
TVS_8V,D1,SOT-23,
VOLTAGE_REGULATOR_SOT223_5V,U2,SOT223,
