Designator,Mid X,Mid Y,Layer,Rotation
C1,70.87,70.10,Top,270.0
C2,107.44,78.23,Top,270.0
C3,100.97,77.60,Top,0.0
C4,101.09,62.99,Top,0.0
C10,73.41, 7.62,Top,90.0
C24,58.93,70.10,Top,270.0
C25,64.89,70.05,Top,270.0
C30,113.41,78.23,Top,270.0
C31,100.97,73.28,Top,0.0
C32,100.97,67.31,Top,0.0
C34,105.03,58.93,Top,90.0
C35,96.65,68.83,Top,90.0
C36,106.93,58.80,Top,90.0
C37,108.59,58.80,Top,90.0
C38,98.04,21.97,Top,90.0
C39,94.74,21.34,Top,180.0
C40,94.74,22.86,Top,180.0
C45,90.93,21.97,Top,90.0
C46,87.25,21.46,Top,180.0
C47,87.25,22.99,Top,180.0
C48,87.50,32.77,Top,90.0
C49,95.63,32.77,Top,90.0
D1,54.86, 2.92,Top,0.0
D2,21.96, 0.69,Top,90.0
D3,26.70, 0.69,Top,90.0
D4,24.33, 0.69,Top,90.0
D5,95.25,121.29,Top,90.0
D6,83.15,72.60,Top,180.0
D9,29.34, 0.76,Top,90.0
D10,95.12,70.23,Top,90.0
D11,31.71, 0.69,Top,90.0
D12,19.71, 0.57,Top,90.0
D13,110.80,59.76,Top,0.0
F2,125.33,70.62,Top,180.0
F6,125.22,83.95,Top,180.0
L4,45.62,73.65,Top,270.0
L5,52.02,71.84,Top,270.0
L6,92.46,57.28,Top,270.0
Q2,52.83, 8.51,Top,90.0
R1,98.97,45.40,Top,90.0
R2,83.29,45.19,Top,90.0
R6,85.07,42.64,Top,270.0
R7,83.29,39.75,Top,90.0
R8,85.09,37.44,Top,270.0
R9,83.21,34.67,Top,90.0
R16,97.28,43.05,Top,270.0
R17,99.04,40.41,Top,90.0
R18,97.16,37.72,Top,270.0
R19,99.06,35.31,Top,90.0
R26,114.55,82.93,Top,180.0
R27,188.72,17.40,Top,270.0
R28,21.94, 3.62,Top,90.0
R29,26.68, 3.61,Top,90.0
R30,95.25,124.33,Top,90.0
R31,47.31,69.59,Top,270.0
R32,80.25,72.62,Top,0.0
R35,29.34, 3.68,Top,90.0
R36,184.91, 2.67,Top,180.0
R37,54.86, 5.71,Top,180.0
R38,55.63, 8.13,Top,270.0
R39,40.02,41.56,Top,180.0
R40,145.91,39.21,Top,180.0
R41,155.94,57.42,Top,0.0
R42,45.85,60.20,Top,0.0
R47,96.65,71.76,Top,270.0
R49,85.60,32.77,Top,270.0
R50,97.41,32.64,Top,270.0
R52,24.31, 3.61,Top,90.0
R53,31.64, 3.63,Top,270.0
R54,19.70, 3.48,Top,90.0
R55,110.81,58.08,Top,180.0
R63,108.59,55.25,Top,270.0
TP1,12.45, 7.49,Top,0.0
TP2,17.27, 7.49,Top,0.0
TP3, 9.78, 3.30,Top,0.0
TP4, 7.62, 7.49,Top,0.0
TP5,36.58,11.30,Top,0.0
TP6,31.88,11.30,Top,0.0
TP7,26.92,11.18,Top,0.0
TP8,22.10,11.05,Top,0.0
TP9,89.79,124.59,Top,0.0
TP10,89.79,120.78,Top,0.0
TP11,14.48, 3.43,Top,0.0
TP12,112.58,97.76,Top,0.0
TP13,112.58,91.77,Top,0.0
TP14,130.30,94.22,Top,0.0
TP15,121.47,94.12,Top,0.0
TP16,104.90,94.36,Top,0.0
TP18,130.36,97.81,Top,0.0
TP19,121.47,97.78,Top,0.0
TP20,104.65,97.96,Top,0.0
U$1,190.25, 8.00,Top,0.0
U2,66.42, 4.19,Top,180.0
U15,58.04, 6.86,Top,180.0
U16,100.97,59.18,Top,270.0
U18,96.14,13.72,Top,180.0
U19,89.03,13.72,Top,180.0
