"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","CURRENT_RATED","CURRENT_SATURATION","DCR","DKPN","GAUGE","INDUCTANCE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"5","15","CAPACITOR_0603_10V_0.1UF","C23, C102, C105, C106, C108","200","0.1µF","","","","","","720-1688-1-ND","","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","5%","10V","","",
"3","13","CAPACITOR_0603_10V_10NF","C7, C15, C16","333","10nF","","","","","","311-4054-1-ND","","","Yageo","603-CC603KRX7R6BB103","CC0603KRX7R6BB103","","","10%","10V","","",
"8","18","CAPACITOR_0603_10V_1UF","C17, C18, C19, C20, C21, C22, C103, C107","125","1µF","","","","","","311-1796-1-ND","","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_4.7UF","C101","1000","4.7µF","","","","","","1276-1044-1-ND","","","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","10%","10V","","",
"2","12","CAPACITOR_0603_25V_0.1UF","C14, C100","500","0.1µF","","","","","","1276-1006-1-ND","","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","10%","25V","","",
"1","11","CAPACITOR_0603_25V_10UF","C110","1000","10µF","","","","","","490-7202-1-ND","","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","20%","25V","","",
"3","13","CAPACITOR_0603_25V_1UF","C13, C104, C111","333","1µF","","","","","","1276-1184-1-ND","","","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","10%","25V","","",
"1","11","CAPACITOR_0603_35V_0.1UF","C112","1000","0.1µF","","","","","","587-3354-1-ND","","","Taiyo Yuden","963-GMK107B7104KAHT","GMK107B7104KAHT","","","10%","35V","","",
"1","11","CAPACITOR_0805_25V_22UF","C12","1000","22µF","","","","","","311-1903-1-ND","","","Yageo","603-CC805MKX5R8BB226","CC0805MKX5R8BB226","","","20%","25V","","",
"2","12","CAPACITOR_1206_250V_0.1UF","C4, C11","500","0.1uF","","","","","","445-6079-2-ND","","","TDK Corporation","810-C3216X7R2E104KT5","C3216X7R2E104K160AM","","","10%","250V","","",
"3","5","CAPACITOR_2220_250V_1UF","C5, C8, C109","67","1µF","","","","","","445-2304-2-ND","","","TDK Corporation","810-C5750X7R2E105K","C5750X7R2E105K230KA","","","10%","250V","","",
"2","4","CAPACITOR_2220_630V_0.1UF","C2, C10","100","0.1uF","","","","","","445-11980-2-ND","","","TDK Coporation","810-C5750CH2J104K2KC","C5750CH2J104K280KC","","","10%","630V","","",
"3","5","CAPACITOR_2220_630V_1UF","C3, C6, C9","67","1µF","","","","","","1608-2220Y6300105KXTWS2CT-ND","","","Knowles Syfer","843-2220Y63105KXTWS2","2220Y6300105KXTWS2","","","10%","630V","","",
